po_ref,vendor_name,product_reference,order_date,difot_date,order_qty,received_qty_before_difot,line_difot_score
PO04310,RS Components Pty Ltd,1006103-001,2020-10-14 22:28:18,2020-11-11 22:28:18,1.0,1.0,1.0
PO04195,Grand Venture Technology,1006121-001,2020-08-21 06:37:48,2020-10-02 06:37:48,15.0,15.0,1.0
PO04290,RS Components Pty Ltd,1005732-001,2020-10-08 23:44:52,2020-11-05 23:44:52,100.0,100.0,1.0
PO04060,Micro Fasteners Pty Ltd,1003763-001,2020-07-10 07:37:35,2020-08-07 07:37:35,500.0,500.0,1.0
PO04060,Micro Fasteners Pty Ltd,1002060-001,2020-07-10 07:37:35,2020-08-07 07:37:35,1000.0,1000.0,1.0
PO04060,Micro Fasteners Pty Ltd,1001242-001,2020-07-10 07:37:35,2020-07-31 07:37:35,1000.0,1000.0,1.0
PO04060,Micro Fasteners Pty Ltd,1003860-001,2020-07-10 07:37:35,2020-07-20 07:37:35,1000.0,1000.0,1.0
PO04060,Micro Fasteners Pty Ltd,1003771-001,2020-07-10 07:37:35,2020-08-07 07:37:35,500.0,500.0,1.0
PO04060,Micro Fasteners Pty Ltd,1002217-001,2020-07-10 07:37:35,2020-07-31 07:37:35,500.0,500.0,1.0
PO07126,Silica Gel Australia,24015,2022-03-16 23:12:18,2022-04-20 23:12:18,1.0,1.0,1.0
PO07126,Silica Gel Australia,29000,2022-03-16 23:12:18,2022-04-20 23:12:18,1.0,1.0,1.0
PO06121,Ibsen Photonics A/S,1003916-003,2021-10-01 01:30:33,2022-02-05 01:30:33,60.0,60.0,1.0
PO04704,Digi-Key Electronics,1001899-001,2021-01-22 03:37:45,2021-02-05 03:37:45,20.0,20.0,1.0
PO07113,Digi-Key Electronics,29000,2022-03-15 04:15:37,2022-04-19 04:15:37,1.0,1.0,1.0
PO04170,SHANGHAI WAIZONGFU INTERNATIONAL TRADE CO LTD,1003848-001,2020-08-17 06:57:54,2020-09-28 06:57:54,10.0,3.0,0.3
PO04346,Retech Precision Mould Limited,1001320-003,2020-10-27 05:55:00,2020-12-01 05:55:00,100.0,100.0,1.0
PO06247,Micro Fasteners Pty Ltd,1007621-001,2021-10-18 03:04:35,2021-11-22 03:04:35,500.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007993-001,2021-10-18 03:04:35,2021-11-22 03:04:35,200.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007620-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007979-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1002209-001,2021-10-18 03:04:35,2021-11-22 03:04:35,200.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007803-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007920-001,2021-10-18 03:04:35,2021-11-22 03:04:35,500.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1008056-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007797-001,2021-10-18 03:04:35,2021-11-22 03:04:35,100.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007952-001,2021-10-18 03:04:35,2021-11-22 03:04:35,100.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007194-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1400.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007618-001,2021-10-18 03:04:35,2021-10-25 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007619-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO06247,Micro Fasteners Pty Ltd,1007985-001,2021-10-18 03:04:35,2021-11-22 03:04:35,1000.0,0.0,0.0
PO04132,Fujian Hitronics Technologies Inc,1001338-001,2020-08-04 04:50:27,2020-09-15 04:50:27,30.0,3.0,0.1
PO04132,Fujian Hitronics Technologies Inc,1003716-002,2020-08-04 04:50:27,2020-09-15 04:50:27,20.0,2.0,0.1
PO05496,RS Components Pty Ltd,1006368-001,2021-06-23 00:18:01,2021-07-28 00:18:01,30.0,30.0,1.0
PO06080,Thin Gap,1006382-002,2021-09-28 03:51:08,2021-12-14 03:51:08,30.0,9.0,0.3
PO06080,Thin Gap,1006381-002,2021-09-28 03:51:08,2021-12-14 03:51:08,30.0,9.0,0.3
PO04431,AusOptic International Pty Ltd,1000957-001,2020-11-18 23:09:30,2020-12-16 23:09:30,20.0,20.0,1.0
PO04431,AusOptic International Pty Ltd,1001781-001,2020-11-18 23:09:30,2020-12-16 23:09:30,10.0,10.0,1.0
PO07103,Bunnings Group Limited,23430,2022-03-11 04:19:58,2022-03-18 04:19:58,3.0,3.0,1.0
PO07103,Bunnings Group Limited,24015,2022-03-11 04:19:58,2022-04-15 04:19:58,1.0,1.0,1.0
PO04000,FS,1005854-001,2020-07-01 00:14:15,2020-08-05 00:14:15,80.0,80.0,1.0
PO04772,3D Markforge Printing (Internal),1006122-001,2021-02-02 08:12:37,2021-03-09 08:12:37,40.0,40.0,1.0
PO04772,3D Markforge Printing (Internal),1006288-001,2021-02-02 08:12:37,2021-03-09 08:12:37,20.0,20.0,1.0
PO07059,Micro Fasteners Pty Ltd,1008989-001,2022-03-03 04:56:37,2022-03-10 04:56:37,1000.0,200.0,0.2
PO07059,Micro Fasteners Pty Ltd,1007753-001,2022-03-03 04:56:37,2022-03-10 04:56:37,1000.0,1000.0,1.0
PO04750,Element14 Pty Ltd,1006059-001,2021-02-01 04:46:32,2021-03-08 04:46:32,5.0,5.0,1.0
PO05503,Grand Venture Technology,1003968-004,2021-06-23 03:51:38,2021-08-11 03:51:38,30.0,30.0,1.0
PO05503,Grand Venture Technology,1003969-004,2021-06-23 03:51:38,2021-08-11 03:51:38,30.0,30.0,1.0
PO05503,Grand Venture Technology,1003967-004,2021-06-23 03:51:38,2021-08-11 03:51:38,30.0,30.0,1.0
PO04123,SJDK Group Pty Ltd (T/A - Stickers n Things),1006995-001,2020-07-29 03:37:21,2020-09-02 03:37:21,2400.0,404.0,0.16833333333333333
PO06196,New Forge Engineering Pty Ltd,1007417-001,2021-10-11 05:22:32,2021-11-15 05:22:32,15.0,15.0,1.0
PO06196,New Forge Engineering Pty Ltd,1006992-001,2021-10-11 05:22:32,2021-11-15 05:22:32,15.0,15.0,1.0
PO06196,New Forge Engineering Pty Ltd,1006994-001,2021-10-11 05:22:32,2021-11-15 05:22:32,15.0,15.0,1.0
PO06196,New Forge Engineering Pty Ltd,1007429-001,2021-10-11 05:22:32,2021-11-15 05:22:32,15.0,15.0,1.0
PO06833,"DJ MODEL & TOOLING CO.,LIMITED",1003798-001,2022-01-18 04:31:49,2022-03-01 04:31:49,10.0,10.0,1.0
PO06833,"DJ MODEL & TOOLING CO.,LIMITED",1003748-001,2022-01-18 04:31:49,2022-03-01 04:31:49,10.0,10.0,1.0
PO05067,"JLCPCB (JiaLiChuang (HongKong) Co., Limited)",1007537-001,2021-03-29 04:13:30,2021-05-03 04:13:30,10.0,10.0,1.0
PO05875,Open Wiring Systems,1007400-001,2021-08-20 01:06:00,2021-09-17 01:06:00,20.0,20.0,1.0
PO04162,"DJ MODEL & TOOLING CO.,LIMITED",1001383-009,2020-08-17 00:05:31,2020-09-28 00:05:31,70.0,70.0,1.0
PO04162,"DJ MODEL & TOOLING CO.,LIMITED",1001379-005,2020-08-17 00:05:31,2020-09-28 00:05:31,30.0,30.0,1.0
PO04162,"DJ MODEL & TOOLING CO.,LIMITED",1001612-004,2020-08-17 00:05:31,2020-09-21 00:05:31,30.0,30.0,1.0
PO06250,Element14 Pty Ltd,1007974-001,2021-10-18 03:46:27,2021-10-25 03:46:27,150.0,150.0,1.0
PO06881,PCBWay,29000,2022-01-28 04:55:55,2022-03-04 04:55:55,50.0,52.0,1.0
PO06881,PCBWay,24015,2022-01-28 04:55:55,2022-03-04 04:55:55,1.0,1.0,1.0
PO05708,Open Wiring Systems,1007229-001,2021-07-22 02:25:06,2021-08-26 02:25:06,2.0,2.0,1.0
PO05878,"Mouser Electronics, Inc.",1008301-001,2021-08-20 05:03:37,2021-09-24 05:03:37,10.0,10.0,1.0
PO04057,Grand Venture Technology,1003977-005,2020-07-10 01:13:39,2020-08-14 01:13:39,8.0,8.0,1.0
PO04147,"DJ MODEL & TOOLING CO.,LIMITED",1003798-001,2020-08-11 05:24:26,2020-09-22 05:24:26,30.0,30.0,1.0
PO05492,"Fuzhou Photop Optics Co., Ltd",1001078-003,2021-06-22 05:39:13,2021-08-10 05:39:13,50.0,50.0,1.0
PO06124,Westfield Fasteners,1007133-001,2021-10-01 01:57:05,2021-11-05 01:57:05,4000.0,4000.0,1.0
PO04064,"DJ MODEL & TOOLING CO.,LIMITED",1001160-001,2020-07-13 00:30:50,2020-08-17 00:30:50,10.0,10.0,1.0
PO04064,"DJ MODEL & TOOLING CO.,LIMITED",1001152-005,2020-07-13 00:30:50,2020-08-17 00:30:50,10.0,10.0,1.0
PO04064,"DJ MODEL & TOOLING CO.,LIMITED",1001159-001,2020-07-13 00:30:50,2020-08-17 00:30:50,10.0,10.0,1.0
PO04637,Zhongshan Meisu Technology Co Ltd,1007052-002,2021-01-11 05:56:38,2021-02-22 05:56:38,20.0,20.0,1.0
PO04939,"Mouser Electronics, Inc.",1006317-001,2021-03-04 04:40:38,2021-04-08 04:40:38,12.0,12.0,1.0
PO06854,FS,1008917-001,2022-01-23 23:34:33,2022-01-30 23:34:33,50.0,50.0,1.0
PO04631,Samec Pty Ltd,1007107-001,2021-01-08 04:06:11,2021-02-12 04:06:11,50.0,50.0,1.0
PO07139,Westfield Fasteners,1009094-001,2022-03-21 04:12:54,2022-03-28 04:12:54,500.0,500.0,1.0
PO07139,Westfield Fasteners,1008854-001,2022-03-21 04:12:54,2022-03-28 04:12:54,200.0,200.0,1.0
PO07139,Westfield Fasteners,1008671-001,2022-03-21 04:12:54,2022-03-28 04:12:54,500.0,500.0,1.0
PO07139,Westfield Fasteners,1008989-001,2022-03-21 04:12:54,2022-03-28 04:12:54,800.0,800.0,1.0
